Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bar mounting type (product.metafields.shopify.bar-mounting-type),Bra features (product.metafields.shopify.bra-features),Bra strap type (product.metafields.shopify.bra-strap-type),Bra support level (product.metafields.shopify.bra-support-level),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Exercise equipment material (product.metafields.shopify.exercise-equipment-material),Fabric (product.metafields.shopify.fabric),Handwear material (product.metafields.shopify.handwear-material),Jump rope design (product.metafields.shopify.jump-rope-design),Material (product.metafields.shopify.material),Pants length type (product.metafields.shopify.pants-length-type),Resistance level (product.metafields.shopify.resistance-level),Support/Brace material (product.metafields.shopify.support-brace-material),Target gender (product.metafields.shopify.target-gender),Waist rise (product.metafields.shopify.waist-rise),Weight unit supported (product.metafields.shopify.weight-unit-supported),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,Blue,,,M,,,,,14:201739809#Blue;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,65.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Se6fc784e143e49328fb3446ec909731aD.webp?v=1753932201,22,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7d435c9edae24de3a6d1558186d78c5bd.webp?v=1753932200,kg,,21.68,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,Blue,,,L,,,,,14:201739809#Blue;5:361385,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,65.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sd95412828f1944a480585e7149ab2c9fm.webp?v=1753932201,23,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7d435c9edae24de3a6d1558186d78c5bd.webp?v=1753932200,kg,,21.68,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,Blue,,,XL,,,,,14:201739809#Blue;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,65.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S818957615dd542a9b6d8f61e1a4bea55M.webp?v=1753932200,24,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7d435c9edae24de3a6d1558186d78c5bd.webp?v=1753932200,kg,,21.68,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Seacf5a8e7aad4f7c86bd5c0128f61843L.webp?v=1753932200,25,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S9e9f75dfdc2b41948a7f8a1a8705a115m.webp?v=1753932200,26,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Scdd71eca898d403c870d81146f01737cs.webp?v=1753932200,27,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S5b0d149f1d954b89969a841ee032a9d9G.webp?v=1753932200,28,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Se39d98f216ea4b54a21879574797fd8dl.webp?v=1753932200,29,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Scb9223bb1e4d4001b76b98d00d61af4e6.webp?v=1753932201,30,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S5e560a03c2174b6e9f989801d0c0a9c3N.webp?v=1753932200,31,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S9dbcbeaa470f4c30ad106a54ddf965b5H.webp?v=1753932201,32,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Se1240ecd7a244d09969e54eebceb2369j.webp?v=1753932200,33,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sfdb334ab437e475fbcd4ecdd6cbd2e107.webp?v=1753932200,34,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S0c0a8da8d2734d1a884281f67e71a09aA.webp?v=1753932201,35,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdb8e26696d8a451594dda48633c57e215.webp?v=1753932201,36,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S1fb0e8ce2d0144ee976b85d622c7f7feD.webp?v=1753932200,37,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sf7a79441f7e540b8960d094c520adedey.webp?v=1753932200,38,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7d435c9edae24de3a6d1558186d78c5bd.webp?v=1753932200,39,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdfea74427e0b4588b6b1af392f63eb6e3.webp?v=1753932201,40,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbc1e8e6626de4f65bc30a2122b53b692h.webp?v=1753932201,41,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort-skinfriendly-sports-bra-with-chest-pad-tank-top-women-gym-fitness-running-yoga-bra-stretch-pull-up-vest-underwear-women,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sc6137c41cc2849d0824f82a6850b25d75.webp?v=1753932201,42,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
