date,adjustable dumbbells,Massage Gun,kettlebell,yoga mat,pull up bar,pickleball paddle,tennis racket bag,ski goggles,Jump Rope,ski glove,ski boot bag,neck warmer
2022-06-19,5,29,43,51,15,11,1,8,43,1,2,12
2022-06-26,5,28,44,29,15,12,1,7,42,1,1,11
2022-07-03,5,28,45,30,15,12,1,8,42,1,2,12
2022-07-10,6,31,48,30,16,13,1,8,43,1,3,14
2022-07-17,5,28,47,28,15,13,1,8,42,1,3,12
2022-07-24,5,30,48,29,16,12,1,8,41,1,2,11
2022-07-31,5,27,44,30,15,12,1,8,44,1,2,10
2022-08-07,5,29,48,30,15,15,2,8,41,1,2,10
2022-08-14,5,30,46,28,15,16,2,8,40,1,2,12
2022-08-21,5,30,42,28,14,15,1,8,40,1,3,12
2022-08-28,5,29,41,29,15,15,2,8,39,0,3,10
2022-09-04,5,27,42,28,14,15,2,8,37,1,2,13
2022-09-11,4,25,41,28,14,13,1,8,38,1,2,16
2022-09-18,5,26,40,27,14,14,1,9,38,1,2,17
2022-09-25,4,26,37,26,13,12,1,9,36,1,3,24
2022-10-02,5,27,38,27,13,13,1,11,38,1,3,25
2022-10-09,5,30,37,26,13,15,1,11,36,1,4,27
2022-10-16,5,26,36,26,13,15,1,12,36,1,4,32
2022-10-23,5,28,37,25,13,15,1,15,35,1,5,29
2022-10-30,5,27,39,26,13,15,1,16,34,1,6,34
2022-11-06,5,31,44,28,14,15,1,23,36,2,8,41
2022-11-13,6,36,46,29,13,15,1,27,38,2,10,61
2022-11-20,9,55,44,34,14,19,1,42,33,3,13,61
2022-11-27,7,51,46,33,16,18,1,43,36,3,16,65
2022-12-04,6,49,42,31,16,16,2,41,35,4,14,83
2022-12-11,7,54,40,28,16,17,1,54,37,5,17,100
2022-12-18,6,61,36,27,15,17,1,48,32,4,16,77
2022-12-25,8,70,46,28,17,18,1,60,37,4,22,65
2023-01-01,8,44,57,38,18,17,1,50,43,3,19,53
2023-01-08,7,37,57,34,16,17,1,47,40,4,17,44
2023-01-15,6,33,60,32,15,17,2,49,39,4,19,44
2023-01-22,6,30,58,34,15,17,1,48,43,4,17,42
2023-01-29,6,32,55,34,15,19,1,47,41,4,15,42
2023-02-05,6,31,52,32,16,19,1,39,42,3,15,31
2023-02-12,6,30,51,29,16,17,1,36,39,2,12,26
2023-02-19,6,28,51,31,15,18,1,36,39,2,15,23
2023-02-26,6,27,50,30,15,17,1,31,40,3,13,25
2023-03-05,6,27,48,29,15,19,1,28,42,2,10,22
2023-03-12,6,26,47,30,14,18,1,22,43,1,8,19
2023-03-19,6,27,53,28,15,18,1,17,43,1,8,16
2023-03-26,5,27,47,27,14,20,1,15,43,1,6,15
2023-04-02,6,25,47,29,14,22,1,11,41,1,5,13
2023-04-09,6,26,48,32,15,23,1,8,44,1,4,13
2023-04-16,6,26,46,28,15,23,1,7,40,0,3,13
2023-04-23,6,25,44,29,15,23,2,7,42,0,1,13
2023-04-30,6,25,44,32,15,22,1,6,44,1,2,13
2023-05-07,5,27,41,26,15,22,1,5,42,0,1,11
2023-05-14,5,25,41,27,15,23,1,6,42,0,2,11
2023-05-21,5,23,41,28,16,23,1,6,42,0,3,14
2023-05-28,5,23,41,28,18,25,2,6,42,0,1,12
2023-06-04,5,26,44,29,17,29,1,8,44,0,1,10
2023-06-11,6,26,49,33,17,28,1,6,44,1,1,11
2023-06-18,6,26,44,49,16,29,1,6,42,1,2,13
2023-06-25,7,25,47,32,17,26,2,7,39,1,2,14
2023-07-02,6,25,46,31,17,26,2,7,38,1,2,12
2023-07-09,8,29,47,32,18,32,2,7,40,1,2,12
2023-07-16,6,27,44,31,17,28,2,7,42,0,3,11
2023-07-23,6,27,46,29,18,28,2,7,41,1,2,13
2023-07-30,6,29,48,30,17,29,2,7,37,0,2,11
2023-08-06,6,27,46,30,18,29,2,7,38,1,2,12
2023-08-13,6,26,44,30,16,28,2,7,34,1,3,11
2023-08-20,6,26,43,31,16,26,2,8,36,1,3,11
2023-08-27,5,27,42,28,16,25,1,9,37,0,3,12
2023-09-03,6,25,41,30,16,28,2,8,35,0,2,10
2023-09-10,5,24,39,28,15,25,2,8,36,1,4,12
2023-09-17,5,23,38,28,16,24,1,8,34,1,4,15
2023-09-24,5,23,39,26,15,23,1,10,33,1,3,18
2023-10-01,5,25,39,27,15,23,1,10,34,1,3,19
2023-10-08,6,25,38,27,14,23,1,11,34,1,6,27
2023-10-15,5,23,36,25,14,22,1,13,33,1,5,31
